1.729554594,	3.008665865
2.017813693,	3.008665865
2.306072792,	3.008665865
2.683834041,	2.740698803
3.325139343,	2.019110543
3.902243437,	1.637782562
4.328803597,	1.544257082
4.689529893,	1.544265757
5.050176038,	1.544361184
5.410805527,	1.544460958
5.771449124,	1.544534711
6.132169493,	1.544530372
6.639843452,	1.421814574
7.203999134,	1.274847941
7.764868894,	1.151407003
8.407642604,	0.995454966
9.360478953,	0.700614169
10.09898847,	0.554911628
10.77142243,	0.456235963
11.40433677,	0.384297046
12.01235642,	0.328875884
12.60146751,	0.285215191
13.17628926,	0.250058488
13.7406655,	0.221047372
14.29668439,	0.196777263
14.84566147,	0.176304311
15.38891711,	0.15883714
15.92737305,	0.143809516
16.46174632,	0.130788962
16.99251858,	0.119459966
17.52035281,	0.109506286
18.04570433,	0.100698906
18.56875891,	0.092896049
19.08978246,	0.085955414
19.6088709,	0.079786154
20.12649599,	0.074231304
20.64284239,	0.06920706
21.15784888,	0.064685427
21.67172924,	0.060589675
22.18460069,	0.056868152
22.6964593,	0.053495693
23.20764786,	0.05038893
23.71806605,	0.047547544
24.22780044,	0.044940037
24.73692542,	0.042539576
