1.729554594,	3.008665865
2.053187704,	2.868555448
2.677666585,	1.975351857
3.237178365,	1.560397967
3.595339559,	1.562756916
3.95503042,	1.56253623
4.314325302,	1.562862862
4.673707747,	1.563035047
5.033483371,	1.562748088
5.392868109,	1.562902595
5.752944951,	1.562368539
6.312682234,	1.385983127
6.877588957,	1.234392492
7.438214649,	1.108752811
7.999699985,	1.000187516
8.841287817,	0.750439174
9.618725228,	0.574410741
10.30149458,	0.465371472
10.93913717,	0.387914627
11.54836354,	0.329617769
12.13775618,	0.284152625
12.71273009,	0.247710729
13.27647106,	0.21798833
13.83112735,	0.193439807
14.37917646,	0.172700723
14.92144733,	0.155092909
15.45881063,	0.140033896
15.99207886,	0.12704318
16.52188373,	0.115753453
17.04863119,	0.105901477
17.57297125,	0.097201264
18.09505585,	0.089514871
18.6151151,	0.082703738
19.13345187,	0.076629796
19.65032124,	0.071180264
20.16599961,	0.066250203
20.68021975,	0.061852388
21.19352403,	0.057843325
21.70585984,	0.054204746
